epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.89316,1.7706,5.29792,2.92334,1.90797,0.00333,1,0.4975,0.24875,0.00333,1,0.995,0.597,1.62996,2.49758,4.11325,1.92428,0,0,0
2,3.52498,1.45298,4.10022,2.95616,1.56884,0.00333,1,0.4975,0.23217,0.00333,1,0.995,0.597,1.67025,2.31396,4.05318,1.91718,1.901e-05,1.901e-05,1.901e-05
3,5.22545,1.53531,4.23824,3.01797,1.4906,0.00333,1,0.4975,0.22743,0.00333,1,0.995,0.597,1.68605,2.20055,4.0404,1.95789,3.604e-05,3.604e-05,3.604e-05
4,7.08516,1.75526,4.1289,3.052,1.70365,0.00333,1,0.4975,0.21321,0.00333,1,0.995,0.4975,1.68373,2.15234,3.73009,1.96772,5.109e-05,5.109e-05,5.109e-05
5,8.76139,1.49925,3.58807,2.83313,1.54362,0.00333,1,0.4975,0.17412,0.00333,1,0.995,0.4975,1.48707,2.04128,3.94799,1.79441,6.416e-05,6.416e-05,6.416e-05
6,10.5681,1.58448,3.12649,2.96711,1.54081,0.00333,1,0.4975,0.17768,0.00333,1,0.995,0.4975,1.45251,2.2957,4.22229,1.71356,7.525e-05,7.525e-05,7.525e-05
7,12.2178,1.47783,2.94304,2.85394,1.60882,0.00333,1,0.33167,0.14262,0.00333,1,0.995,0.44775,1.40218,2.73161,3.81109,1.57118,8.436e-05,8.436e-05,8.436e-05
8,13.8402,1.05148,2.4245,2.86299,1.32753,0.00333,1,0.4975,0.14925,0.00333,1,0.995,0.38805,1.11895,3.26053,3.74713,1.39239,9.149e-05,9.149e-05,9.149e-05
9,15.435,1.1823,2.45982,2.77087,1.37543,0.00333,1,0.4975,0.2985,0.00333,1,0.4975,0.199,0.95053,4.45305,3.73245,1.32624,9.664e-05,9.664e-05,9.664e-05
